LotFrontage,LotArea,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,SalePrice
65.0,8450,7,2003,2003,196.0,706.0,150.0,856.0,854,1710,1.0,2,1,0,2.0,0,61,208500.0
80.0,9600,6,1976,1976,0.0,978.0,284.0,1262.0,0,1262,0.0,2,0,1,2.0,298,0,181500.0
68.0,11250,7,2001,2002,162.0,486.0,434.0,920.0,866,1786,1.0,2,1,1,2.0,0,42,223500.0
60.0,9550,7,1915,1970,0.0,216.0,540.0,756.0,756,1717,1.0,1,0,1,3.0,0,35,140000.0
84.0,14260,8,2000,2000,350.0,655.0,490.0,1145.0,1053,2198,1.0,2,1,1,3.0,192,84,250000.0
85.0,14115,5,1993,1995,0.0,732.0,64.0,796.0,566,1362,1.0,1,1,0,2.0,40,30,143000.0
75.0,10084,8,2004,2005,186.0,1369.0,317.0,1686.0,0,1694,1.0,2,0,1,2.0,255,57,307000.0
,10382,7,1973,1973,240.0,859.0,216.0,1107.0,983,2090,1.0,2,1,2,2.0,235,204,200000.0
51.0,6120,7,1931,1950,0.0,0.0,952.0,952.0,752,1774,0.0,2,0,2,2.0,90,0,129900.0
50.0,7420,5,1939,1950,0.0,851.0,140.0,991.0,0,1077,1.0,1,0,2,1.0,0,4,118000.0
70.0,11200,5,1965,1965,0.0,906.0,134.0,1040.0,0,1040,1.0,1,0,0,1.0,0,0,129500.0
85.0,11924,9,2005,2006,286.0,998.0,177.0,1175.0,1142,2324,1.0,3,0,2,3.0,147,21,345000.0
,12968,5,1962,1962,0.0,737.0,175.0,912.0,0,912,1.0,1,0,0,1.0,140,0,144000.0
91.0,10652,7,2006,2007,306.0,0.0,1494.0,1494.0,0,1494,0.0,2,0,1,3.0,160,33,279500.0
,10920,6,1960,1960,212.0,733.0,520.0,1253.0,0,1253,1.0,1,1,1,1.0,0,213,157000.0
51.0,6120,7,1929,2001,0.0,0.0,832.0,832.0,0,854,0.0,1,0,0,2.0,48,112,132000.0
,11241,6,1970,1970,180.0,578.0,426.0,1004.0,0,1004,1.0,1,0,1,2.0,0,0,149000.0
72.0,10791,4,1967,1967,0.0,0.0,0.0,0.0,0,1296,0.0,2,0,0,2.0,0,0,90000.0
66.0,13695,5,2004,2004,0.0,646.0,468.0,1114.0,0,1114,1.0,1,1,0,2.0,0,102,159000.0
70.0,7560,5,1958,1965,0.0,504.0,525.0,1029.0,0,1339,0.0,1,0,0,1.0,0,0,139000.0
101.0,14215,8,2005,2006,380.0,0.0,1158.0,1158.0,1218,2376,0.0,3,1,1,3.0,240,154,325300.0
57.0,7449,7,1930,1950,0.0,0.0,637.0,637.0,0,1108,0.0,1,0,1,1.0,0,0,139400.0
